timestamp number_of_photon grain_size number_of_threads time_ellapsed cpu_info
2021-10-14_14:11:02.314999 1000 76 16 2.185 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_15:03:36.568487 10000 76 8 11.718 11th_Gen_Intel(R)_Core(TM)_i7-1165G7_@_2.80GHz
2021-10-14_15:03:50.858286 10000 88 8 14.289 11th_Gen_Intel(R)_Core(TM)_i7-1165G7_@_2.80GHz
2021-10-14_19:11:45.954710 100000 78 16 114.727 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:13:45.793976 100000 66 16 119.839 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:15:46.460277 100000 63 16 120.666 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:17:47.665961 100000 62 16 121.204 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:19:53.029695 100000 61 16 125.364 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:21:54.703706 100000 62 16 121.673 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:23:51.389118 100000 86 16 116.685 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:25:52.708240 100000 68 16 121.319 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:27:56.440952 100000 62 16 123.733 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:29:59.690725 100000 63 16 123.25 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:32:02.047183 100000 62 16 122.355 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:34:02.735122 100000 62 16 120.687 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:35:55.535875 100000 76 16 112.801 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:53:17.977091 100000 76 16 110.368 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:55:18.686612 100000 64 16 120.709 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:57:24.910095 100000 63 16 126.222 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_19:59:30.425995 100000 63 16 125.515 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_20:01:37.425316 100000 63 16 126.999 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_20:03:26.528703 100000 88 16 109.103 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_20:05:21.633555 100000 68 16 115.105 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_20:07:17.332948 100000 65 16 115.699 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_20:09:14.061280 100000 62 16 116.727 AMD_Ryzen_7_2700X_Eight-Core_Processor
2021-10-14_20:11:10.817638 100000 62 16 116.755 AMD_Ryzen_7_2700X_Eight-Core_Processor
